states,value,probable_moves
000000000,0.5,"{'state': ['100000000', '010000000', '001000000', '000100000', '000010000', '000001000', '000000100', '000000010', '000000001'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0), (2, 1), (2, 2)]}"
000000001,0.5,"{'state': ['100000001', '010000001', '001000001', '000100001', '000010001', '000001001', '000000101', '000000011'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0), (2, 1)]}"
000000002,0.5,"{'state': ['100000002', '010000002', '001000002', '000100002', '000010002', '000001002', '000000102', '000000012'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0), (2, 1)]}"
000000010,0.5,"{'state': ['100000010', '010000010', '001000010', '000100010', '000010010', '000001010', '000000110', '000000011'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0), (2, 2)]}"
000000011,0.5,"{'state': ['100000011', '010000011', '001000011', '000100011', '000010011', '000001011', '000000111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0)]}"
000000012,0.5,"{'state': ['100000012', '010000012', '001000012', '000100012', '000010012', '000001012', '000000112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0)]}"
000000020,0.5,"{'state': ['100000020', '010000020', '001000020', '000100020', '000010020', '000001020', '000000120', '000000021'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0), (2, 2)]}"
000000021,0.5,"{'state': ['100000021', '010000021', '001000021', '000100021', '000010021', '000001021', '000000121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0)]}"
000000022,0.5,"{'state': ['100000022', '010000022', '001000022', '000100022', '000010022', '000001022', '000000122'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 0)]}"
000000100,0.5,"{'state': ['100000100', '010000100', '001000100', '000100100', '000010100', '000001100', '000000110', '000000101'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 1), (2, 2)]}"
000000101,0.5,"{'state': ['100000101', '010000101', '001000101', '000100101', '000010101', '000001101', '000000111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 1)]}"
000000102,0.5,"{'state': ['100000102', '010000102', '001000102', '000100102', '000010102', '000001102', '000000112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 1)]}"
000000110,0.5,"{'state': ['100000110', '010000110', '001000110', '000100110', '000010110', '000001110', '000000111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 2)]}"
000000111,1.0,"{'state': ['100000111', '010000111', '001000111', '000100111', '000010111', '000001111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2)]}"
000000112,0.5,"{'state': ['100000112', '010000112', '001000112', '000100112', '000010112', '000001112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2)]}"
000000120,0.5,"{'state': ['100000120', '010000120', '001000120', '000100120', '000010120', '000001120', '000000121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 2)]}"
000000121,0.5,"{'state': ['100000121', '010000121', '001000121', '000100121', '000010121', '000001121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2)]}"
000000122,0.5,"{'state': ['100000122', '010000122', '001000122', '000100122', '000010122', '000001122'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2)]}"
000000200,0.5,"{'state': ['100000200', '010000200', '001000200', '000100200', '000010200', '000001200', '000000210', '000000201'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 1), (2, 2)]}"
000000201,0.5,"{'state': ['100000201', '010000201', '001000201', '000100201', '000010201', '000001201', '000000211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 1)]}"
000000202,0.5,"{'state': ['100000202', '010000202', '001000202', '000100202', '000010202', '000001202', '000000212'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 1)]}"
000000210,0.5,"{'state': ['100000210', '010000210', '001000210', '000100210', '000010210', '000001210', '000000211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 2)]}"
000000211,0.5,"{'state': ['100000211', '010000211', '001000211', '000100211', '000010211', '000001211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2)]}"
000000212,0.5,"{'state': ['100000212', '010000212', '001000212', '000100212', '000010212', '000001212'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2)]}"
000000220,0.5,"{'state': ['100000220', '010000220', '001000220', '000100220', '000010220', '000001220', '000000221'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (2, 2)]}"
000000221,0.5,"{'state': ['100000221', '010000221', '001000221', '000100221', '000010221', '000001221'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2)]}"
000000222,0.5,"{'state': ['100000222', '010000222', '001000222', '000100222', '000010222', '000001222'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (1, 2)]}"
000001000,0.5,"{'state': ['100001000', '010001000', '001001000', '000101000', '000011000', '000001100', '000001010', '000001001'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0), (2, 1), (2, 2)]}"
000001001,0.5,"{'state': ['100001001', '010001001', '001001001', '000101001', '000011001', '000001101', '000001011'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0), (2, 1)]}"
000001002,0.5,"{'state': ['100001002', '010001002', '001001002', '000101002', '000011002', '000001102', '000001012'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0), (2, 1)]}"
000001010,0.5,"{'state': ['100001010', '010001010', '001001010', '000101010', '000011010', '000001110', '000001011'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0), (2, 2)]}"
000001011,0.5,"{'state': ['100001011', '010001011', '001001011', '000101011', '000011011', '000001111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0)]}"
000001012,0.5,"{'state': ['100001012', '010001012', '001001012', '000101012', '000011012', '000001112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0)]}"
000001020,0.5,"{'state': ['100001020', '010001020', '001001020', '000101020', '000011020', '000001120', '000001021'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 1), (2, 0), (2, 2)]}"
